Source IP,Source Port,Destination IP,Destination Port,Protocol
10.0.0.190,61854,35.186.224.39,443,TCP
35.186.224.39,443,10.0.0.190,61854,TCP
35.186.224.39,443,10.0.0.190,61854,TCP
10.0.0.190,61854,35.186.224.39,443,TCP
10.0.0.190,62086,52.168.117.175,443,TCP
10.0.0.190,62086,52.168.117.175,443,TCP
10.0.0.190,62086,52.168.117.175,443,TCP
52.168.117.175,443,10.0.0.190,62086,TCP
10.0.0.190,62086,52.168.117.175,443,TCP
52.168.117.175,443,10.0.0.190,62086,TCP
52.168.117.175,443,10.0.0.190,62086,TCP
10.0.0.190,62086,52.168.117.175,443,TCP
10.0.0.190,62086,52.168.117.175,443,TCP
52.168.117.175,443,10.0.0.190,62086,TCP
10.0.0.143,,224.0.0.251,,IP
10.0.0.143,5353,224.0.0.251,5353,UDP
10.0.0.1,,224.0.0.251,,IP
10.0.0.143,5353,224.0.0.251,5353,UDP
10.0.0.190,5353,10.0.0.143,5353,UDP
10.0.0.143,5353,224.0.0.251,5353,UDP
10.0.0.143,5353,224.0.0.251,5353,UDP
10.0.0.198,,224.0.0.251,,IP
10.0.0.143,5353,224.0.0.251,5353,UDP
10.0.0.143,5353,224.0.0.251,5353,UDP
10.0.0.143,5353,224.0.0.251,5353,UDP
10.0.0.143,5353,224.0.0.251,5353,UDP
10.0.0.190,54658,239.255.255.250,1900,UDP
10.0.0.143,5353,224.0.0.251,5353,UDP
10.0.0.190,54658,239.255.255.250,1900,UDP
10.0.0.143,5353,224.0.0.251,5353,UDP
10.0.0.186,33292,10.0.0.190,54658,UDP
10.0.0.186,33292,10.0.0.190,54658,UDP
44.210.211.179,443,10.0.0.190,62197,TCP
44.210.211.179,443,10.0.0.190,62197,TCP
10.0.0.190,62197,44.210.211.179,443,TCP
